,country,region,age,time,gender,category
232,FRA,Europe,48,89.06666666666666,male,21km
233,FRA,Europe,46,89.08333333333333,male,21km
234,CHE,Europe,37,89.1,female,21km
235,CHE,Europe,20,89.13333333333334,male,21km
236,GBR,Europe,47,89.13333333333334,male,21km
237,CHE,Europe,43,89.18333333333334,male,21km
238,NLD,Europe,30,89.2,male,21km
239,CHE,Europe,51,89.2,male,21km
240,CHE,Europe,28,89.21666666666667,female,21km
241,CHE,Europe,46,89.21666666666667,male,21km
242,FRA,Europe,43,89.21666666666667,male,21km
243,CHE,Europe,39,89.21666666666667,male,21km
244,CHE,Europe,55,89.3,male,21km
245,RUS,Europe,45,89.31666666666666,male,21km
246,FRA,Europe,26,89.31666666666666,male,21km
247,CHE,Europe,44,89.31666666666666,male,21km
248,FRA,Europe,38,89.31666666666666,male,21km
249,CHE,Europe,38,89.36666666666666,male,21km
250,CHE,Europe,38,89.38333333333334,male,21km
251,CHE,Europe,45,89.38333333333334,male,21km
252,CHE,Europe,33,89.5,male,21km
253,FRA,Europe,37,89.56666666666666,male,21km
254,CHE,Europe,44,89.6,male,21km
255,FRA,Europe,49,89.6,male,21km
256,CHE,Europe,26,89.63333333333334,male,21km
257,CHE,Europe,41,89.63333333333334,male,21km
258,AUT,Europe,41,89.65,male,21km
259,ITA,Europe,39,89.65,male,21km
260,CHE,Europe,37,89.65,male,21km
261,FRA,Europe,35,89.65,male,21km
262,CHE,Europe,32,89.66666666666667,male,21km
263,CHE,Europe,57,89.68333333333334,male,21km
264,CHE,Europe,27,89.68333333333334,male,21km
265,CHE,Europe,19,89.7,male,21km
266,CHE,Europe,46,89.7,male,21km
267,CHE,Europe,26,89.71666666666667,male,21km
268,FRA,Europe,21,89.71666666666667,male,21km
269,CHE,Europe,46,89.71666666666667,male,21km
270,CHE,Europe,38,89.73333333333333,male,21km
271,CHE,Europe,32,89.73333333333333,male,21km
272,CHE,Europe,21,89.75,male,21km
273,THA,Asia,18,89.81666666666666,male,21km
274,FRA,Europe,42,89.83333333333333,male,21km
275,CHE,Europe,47,89.88333333333334,male,21km
276,CHE,Europe,32,89.88333333333334,male,21km
277,CHE,Europe,29,89.88333333333334,male,21km
278,FRA,Europe,28,89.88333333333334,male,21km
279,FRA,Europe,29,89.9,male,21km
280,CHE,Europe,26,89.95,male,21km
281,CHE,Europe,29,90.01666666666667,male,21km
282,DEU,Europe,26,90.13333333333334,male,21km
283,CHE,Europe,46,90.15,male,21km
284,CHE,Europe,59,90.2,male,21km
285,CHE,Europe,17,90.25,male,21km
286,CHE,Europe,37,90.36666666666666,male,21km
287,CHE,Europe,30,90.41666666666667,female,21km
288,CHE,Europe,46,90.41666666666667,male,21km
289,CHE,Europe,34,90.43333333333334,male,21km
290,FRA,Europe,36,90.43333333333334,male,21km
291,CHE,Europe,50,90.48333333333333,male,21km
292,CHE,Europe,52,90.5,male,21km
293,ITA,Europe,38,90.53333333333333,male,21km
294,CHE,Europe,32,90.56666666666666,male,21km
295,CHE,Europe,22,90.58333333333333,male,21km
296,GBR,Europe,41,90.58333333333333,male,21km
297,FRA,Europe,32,90.6,male,21km
298,FRA,Europe,39,90.61666666666666,male,21km
299,HRV,Europe,47,90.63333333333334,male,21km
300,CHE,Europe,30,90.66666666666667,male,21km
301,CHE,Europe,18,90.73333333333333,male,21km
302,FRA,Europe,21,90.93333333333334,male,21km
303,CHE,Europe,27,90.95,male,21km
304,SWE,Europe,36,90.95,male,21km
305,DEU,Europe,41,90.96666666666667,male,21km
306,FRA,Europe,17,91.03333333333333,male,21km
307,FRA,Europe,38,91.06666666666666,male,21km
308,CHE,Europe,20,91.16666666666667,male,21km
309,CHE,Europe,44,91.18333333333334,male,21km
310,ITA,Europe,38,91.2,male,21km
311,CHE,Europe,39,91.23333333333333,male,21km
312,CHE,Europe,38,91.23333333333333,male,21km
313,CHE,Europe,35,91.26666666666667,female,21km
314,CHE,Europe,43,91.28333333333333,female,21km
315,FRA,Europe,43,91.28333333333333,male,21km
316,DEU,Europe,51,91.28333333333333,male,21km
317,DEU,Europe,33,91.3,female,21km
318,PRT,Europe,43,91.31666666666666,male,21km
319,CHE,Europe,35,91.31666666666666,male,21km
320,CHE,Europe,34,91.33333333333333,male,21km
321,CHE,Europe,37,91.36666666666666,male,21km
322,GBR,Europe,39,91.38333333333334,male,21km
323,DEU,Europe,51,91.4,male,21km
324,CHE,Europe,45,91.41666666666667,male,21km
325,CHE,Europe,32,91.43333333333334,male,21km
326,ITA,Europe,28,91.45,male,21km
327,CHE,Europe,23,91.46666666666667,male,21km
328,PRT,Europe,52,91.53333333333333,male,21km
329,CHE,Europe,41,91.56666666666666,male,21km
330,CHE,Europe,26,91.58333333333333,male,21km
331,CHE,Europe,49,91.6,male,21km
332,FRA,Europe,42,91.63333333333334,female,21km
333,FRA,Europe,34,91.63333333333334,male,21km
334,FRA,Europe,27,91.65,male,21km
335,CHE,Europe,37,91.7,male,21km
336,FRA,Europe,40,91.71666666666667,male,21km
337,CHE,Europe,39,91.73333333333333,female,21km
338,CHE,Europe,25,91.73333333333333,male,21km
339,FRA,Europe,28,91.78333333333333,male,21km
340,CHE,Europe,29,91.85,male,21km
341,BEL,Europe,31,91.86666666666666,male,21km
342,CHE,Europe,55,91.88333333333334,male,21km
343,CHE,Europe,36,91.91666666666667,male,21km
344,CHE,Europe,37,91.91666666666667,male,21km
345,CHE,Europe,20,91.95,male,21km
346,CHE,Europe,30,91.96666666666667,male,21km
347,CHE,Europe,50,91.98333333333333,male,21km
348,FRA,Europe,48,92.0,male,21km
349,ESP,Europe,48,92.03333333333333,male,21km
350,CHE,Europe,34,92.05,male,21km
351,JPN,Asia,53,92.05,male,21km
352,FRA,Europe,26,92.06666666666666,male,21km
353,CHE,Europe,20,92.08333333333333,male,21km
354,CZE,Europe,38,92.08333333333333,female,21km
355,CHE,Europe,57,92.15,male,21km
356,CHE,Europe,46,92.15,male,21km
357,JPN,Asia,42,92.18333333333334,male,21km
358,CHE,Europe,58,92.18333333333334,male,21km
359,CHE,Europe,39,92.21666666666667,male,21km
360,GBR,Europe,30,92.23333333333333,male,21km
361,ITA,Europe,35,92.28333333333333,male,21km
362,GBR,Europe,47,92.28333333333333,male,21km
363,CHE,Europe,24,92.33333333333333,male,21km
364,ITA,Europe,31,92.36666666666666,female,21km
365,ESP,Europe,37,92.36666666666666,male,21km
366,CHE,Europe,49,92.4,male,21km
367,CHE,Europe,31,92.41666666666667,male,21km
368,FRA,Europe,21,92.48333333333333,male,21km
369,CHE,Europe,32,92.48333333333333,male,21km
370,CHE,Europe,49,92.55,male,21km
371,CHE,Europe,27,92.55,male,21km
372,PRT,Europe,31,92.55,male,21km
373,CHE,Europe,24,92.56666666666666,male,21km
374,FRA,Europe,25,92.66666666666667,male,21km
375,PRT,Europe,50,92.66666666666667,male,21km
376,FRA,Europe,24,92.68333333333334,male,21km
377,CHE,Europe,51,92.71666666666667,male,21km
378,CHE,Europe,25,92.73333333333333,male,21km
379,CHE,Europe,38,92.78333333333333,male,21km
380,GBR,Europe,40,92.8,male,21km
381,CHE,Europe,43,92.81666666666666,male,21km
382,CHE,Europe,18,92.88333333333334,male,21km
383,SWE,Europe,30,92.91666666666667,male,21km
384,CHE,Europe,41,92.96666666666667,male,21km
385,CHE,Europe,38,92.98333333333333,male,21km
386,FRA,Europe,32,93.05,male,21km
387,PRT,Europe,35,93.05,male,21km
388,CHE,Europe,42,93.06666666666666,male,21km
389,BEL,Europe,42,93.08333333333333,male,21km
390,CHE,Europe,31,93.11666666666666,male,21km
391,FRA,Europe,29,93.16666666666667,male,21km
392,CHE,Europe,37,93.18333333333334,male,21km
393,FRA,Europe,31,93.2,male,21km
394,FRA,Europe,55,93.23333333333333,male,21km
395,FRA,Europe,22,93.25,male,21km
396,CHE,Europe,34,93.25,male,21km
397,CHE,Europe,37,93.28333333333333,male,21km
398,CHE,Europe,30,93.28333333333333,male,21km
399,FRA,Europe,45,93.28333333333333,male,21km
400,FRA,Europe,46,93.38333333333334,male,21km
401,FRA,Europe,36,93.38333333333334,male,21km
402,CHE,Europe,49,93.43333333333334,male,21km
403,DEU,Europe,37,93.45,female,21km
404,CHE,Europe,44,93.5,male,21km
405,FRA,Europe,19,93.51666666666667,male,21km
406,BEL,Europe,31,93.51666666666667,male,21km
407,DEU,Europe,35,93.53333333333333,male,21km
408,CHE,Europe,46,93.6,female,21km
